DATE,TOTLISCOU48157
2020-01-01,4729.0
2020-02-01,5055.0
2020-03-01,5355.0
2020-04-01,5154.0
2020-05-01,5368.0
2020-06-01,5505.0
2020-07-01,5277.0
2020-08-01,4942.0
2020-09-01,4607.0
2020-10-01,4362.0
2020-11-01,4161.0
2020-12-01,3724.0
2021-01-01,3258.0
2021-02-01,3311.0
2021-03-01,3312.0
2021-04-01,3435.0
2021-05-01,3446.0
2021-06-01,3630.0
2021-07-01,3749.0
2021-08-01,3763.0
2021-09-01,3681.0
2021-10-01,3554.0
2021-11-01,3311.0
2021-12-01,2984.0
2022-01-01,2494.0
2022-02-01,2590.0
2022-03-01,2573.0
2022-04-01,2664.0
2022-05-01,3102.0
2022-06-01,3311.0
2022-07-01,3667.0
2022-08-01,3767.0
2022-09-01,3610.0
2022-10-01,3507.0
